WIN	WIND
COMPLIMENTARY	COMPLETEMENTARY
PLAGUE	CLUB
FOR	<NOISE>
PLAGUE	PLUG
COMPLIMENTARY	IMPLEMENTALLY
INVITATION	COMMUNICATION
HUM	<NOISE>
STRENGTHS	STRENGTH
LAH	AH
THAT	THEM
ALL	A
TARGET	GET
THE	AH
LIABILITY	DIABETES
LIABILITY	LIBILITY
LAH	AH
THOSE	DO
REGISTERED	REGISTER
SAY	STAY
SET	ARMY
THE	I
THING	THINK
FOUNDATION	ORIENTATION
ORIENTED	RELATED
INITIAL	INDUSTRY
KNOW	NO
LAH	AH
LIKE	THAT
DUE	IDEA
PANTS	MAN
SPORTS	WATCH
SHOES	YOU
TEE	T
JACKET	TRACK
WEAR	WAY
PANTS	PLANS
LAH	AH
TEE	T
IT'S	IS
CLOTHING	CLOTHINGS
MOH	MO
<NOISE>PATTERN	PATTERN
NOR	HOR
INDONESIAN	INDONESIA
LECTURERS	LECTURES
SCHOOLS	SKILLS
TIME	SOMETIMES
MEDIUM	MEDIA
SOMETIME	SOMETIMES
LIKE	THEN
BE	THAT
SWITCH	SWEET
PREF	WITH
CULTURES	CULTURE
HUM	<NOISE>
HUM	EN
B	D
B	P
T	D
LOR	LOH
NO	NOT
MULTI	MARKET
RAC	WITH
MODERNIZED	ORGANIZE
URBANIZED	ORGANIZE
COUNTRY	COUNTRIES
ASIA	A
COUNTRY	A
OCCASION	LOCATION
ER	AH
FORMAL	FOR
PLACE	FACE
LET'S	LET
CASUAL	CASHIER
MEANINGFUL	FULL
AH	LAH
COLLEAGUES	LATE
AH	FRIEND
LIFESTYLE	WEBSITE
JOBS	JOB
AH	LAH
THESE	THIS
LAH	JOB
ER	AH
FRIENDS	FRIEND
EXAM	M
I	LAH
FRIENDS	FRIEND
MAH	LAH
YEAH	YAH
NATURALLY	MAJORLY
NOW	NOT
EXTERNAL	EXTEND
MYSELF	CELL
LOR	LAH
LOR	LAH
EM	EN
AI	AND
MALAYSIAN	MALAYSIA
BILLION	MILLION
EXPEND	EXPECT
A	OR
LOT	NOT
EM	EN
VEGAS	ACER'S
PLACE	BASIC
AH	NAH
AVENUE	EVENUE
STARS	STAR
AH	STUFF
I	LAH
BUDDHA	MUDAS
STATUE	DESUO
ENJOY	AMYOR
LACK	GET
OF	OUT
EXPLORE	FAR
A	I
AVERAGE	REACH
ROOM	RIGHT
HOKNG	HONG
SING	PLUSING
DOLLARS	DOLLAR
CONDITIONER	CON
LAH	AH
SERVICE	SURVEYS
EM	FROM
SAVING	SEVEN
EMERGENCY	IMERGENCY
AH	LAH
MONTHLY	MONEY
SAVING	SAME
THE	INTO
TYPE	I
OF	FOR
P	OUR
O	CURRENT
B	P
DAILY	ANY
LOR	LAH
MEANTIME	TIME
I	A
AH	SYSTEMA
INVENTORY	INDENTORIES
AH	SYSTEMA
ER	THE
INTERPERSONAL	PERSONAL
SKILLS	SKILL
AH	LAH
SKILLS	SKILL
AH	MAH
OUT	UP
DIVERSITY	DIRECTIVERSITY
OKAY	OK
OKAY	LAH
AH	LAH
ANNUAL	AMIR
BESIDES	BESIDE
WEEK	WAY
ALRIGHT	OR
AH	RIGHT
TIMES	TIME
ACCUMULATE	ACCOMMODATE
ONE	CARE
SINGAPORE	SING
BACHELOR	MATCALO
LOR	LAH
APPROACH	APPLY
SECONDARY	SECOND
SCHOOL	DAY
MALE	OMMPS
UNTIL	KIO
SHY	SHA
A	I
AH	LAH
NERVOUSLY	UNIVERSITY
PERSONALITY	PERSONALLY
CALLING	CURRENTLY
BOTHER	BORDER
OFTEN	AFTERNOON
BUT	THE
MEET	ME
OH	ER
LAH	AH
LAH	AH
EASY	HE
GO	ACICLE
WAH	WHAT
EM	EN
GOOD	THERE'S
OH	AH
LIKE	BUT
STUDIES	STUDY
FORK	FOR
EH	AH
ABILITY	APPLITY
OF	ON
GLOBAL	LOGO
MAH	AH
EM	<NOISE>
HUM	EN
OKAY	OH
AH	MAH
AH	LAH
IF	I
VEGETARIAN	MATERIAL
BALANCED	BALANCE
LUNCHTIME	TIME
NOODLES	NODLES
EGG	ACH
WITH	IT
WHAT	CAN
VEGGIE	BATTERY
STALL	STORE
SOMETIMES	SOMETHING
STALL	STONE
ER	AH
ER	AH
GRAVY	GRAY
GRAVY	GRAMMY
GRAV	GRADUATE
MIXED	TO
WITH	THE
EM	EN
KOPITIAM	COPYIAM
KOPITIAM	COPYIUM
FOODSTALL	STORE
VEGGIE	WEGIN
HUM	EN
WHILE	BUT
OTHERS	OTHER
LAH	AH
EMPLOYED	EMPLOY
CHANGE	TRAIN
FOREX	RIDES
TRENDS	TREND
AH	MAH
AH	LAH
FUTURE	INFITURE
I	OF
THINK	THING
SAY	SAVE
FULL	FEEL
A	OR
A	OR
CALL	CALLED
A	ER
LENG	LANG
A	ER
HUM	EN
PLATES	STUPID
DIARY	DIRECT
DIARY	DIRECT
OF	FOR
HOR	HUH
OH	WHAT
OKAY	OK
HOR	AH
DIET	DIE
AH	AND
YOU	IT
MILK	NEW
KIDDING	KEY
KIDDING	THEN
SMILE	SMELL
LAST	LET
SEMESTER	SEM
DON'T	THEN
SEMESTER	SEM
SEMESTER	SEM
OH	AH
OKAY	OK
USE	USED
TWO	TO
YOU	IT
DOES	THE
IT	SAME
MATHEMATICS	SCIENCES
WAH	WELL
SPORT	SPORTS
I'M	AM
COMM	SUB
TOO	COMMITTEE
DESK	THIS
MASTER	MASTERS
SPECIALIZATION	SPECIALISATION
CURRICULUM	SURE
PLAYGROUND	PULAU
FATED	BETED
K	OKAY
OH	OR
GLIDING	SINGLEDING
WENT	SPEND
U	YOU
MA	MAH
LESSONS	LESSON
FAIL	FEEL
PASSED	PASS
ENOUGH	LA
MARKS	MAX
I	YOU
AM	ARE
PASSED	PASS
EM	ERM
LEH	AH
AN	AND
IS	IT'S
WILL	I'LL
ER	EN
TALENT	THAILAND
SPORT	SPORTS
LOAD	OVERLOAD
ELECTIVES	ELECTIVE
RELAXED	RELAX
EXEMPT	EXAM
EXEMPT	EXAM
RELAXED	RELAX
READY	ALREADY
SEMESTER	SEM
P	T
EXEMPT	EXAM
CLEVER	TRAVEL
CLEVER	TRAVEL
INTERPERSONAL	PERSONAL
CEDAR	SEEA
GIRL'S	GIRLS
SLEEPY	SLEEP
WA	WAH
ULTI	ULTIM
CON	FRONT
BOND	BONDS
FERROS	FOREST
AH	ER
FAVOR	FAVOUR
LEAVE	LIVE
YA	YEAH
LEH	EH
TANG	YOUR
MISUNDERSTANDINGS	UNDERSTANDING
POINTS	POINT
LOW	LOOP
LOT	NOT
OH	WAH
CAN'T	COME
WAIT	BACK
BE	CHECK
OPENED	OVER
LEH	EH
REC	RACK
SPORT	SPORTS
EH	EI
KIND	TIME
UITE	QUITE
KNOCK	LOOK
DOOR	DOWN
LOCALS	LOCAL
SINGAPOREANS	SINGAPOREAN
LAH	AH
OR	ER
I	MY
HARDLY	HONEY
IN	HAVING
MOSTLY	MOST
LIKE	LIKELY
SPORT	SPORTS
CUPBOARD	MARD
WAY	YOU
I'M	AM
IT	REALLY
STAND	STAY
THAT	AT
TIME	THEM
TIME	THEM
OFTEN	AFTER
UNTIL	YOU
OH	EN
MERIDIAN	MARIAN
ER	AH
KOVAN	COMMON
ABIT	BIT
MUST	MY
ABIT	BIT
EH	YOU
NO	KNOW
WAS	BUT
IS	IT'S
BASE	THE
TENGA	NOW
AIR	I
BASE	WASTE
IS	IT'S
CHAO	VERY
GENG	GAY
B	P
MY	ON
HEART	HELP
PAIN	IN
HE	<NOISE>
YEAH	YAH
LOR	LOH
EH	IT
SEVENTEEN	SEVEN
TOO	TO
CARD	CUT
RESOLUTIONS	RESOLUTION
UNIVERSITY	UNI
ERM	MM
CLOSED	CLOSE
IN	IS
DRINKS	DRINK
STALL	STORE
INSTEAD	EXPECT
PROJECTS	PROJECT
HIM	AM
RELIEVE	RELEASE
RESPONSIBLE	RESPONSEABLE
INSTRUCTORS	INSTRUCTOR
QUIT	GOOD
DREAMING	DREAM
SPIDER	THAT
COMPROMISING	COMPROMIZING
BITTER	BETTER
LIFESTYLE	STYLE
SUPPORTIVE	WITH
PAID	PAY
DUES	SKILLS
MOTTO	MOTOR
A	THE
RELIEVE	RELEASE
PRACTICING	PRACTISING
BENEFICIAL	MUTUAL
APART	PART
DAYDREAMING	DRINKING
SAD	SET
MARRIED	MARRIT
WOULD	WILL
FACE	PHASE
NOT	NOW
PUTTING	PUTING
CONTRARY	CONTROLLING
THERE	THEY
SHOW	SHALL
WHAT	WATCH
YOU'VE	A
GOT	GOD
PAINFUL	PAINTFUL
CONTRARY	COUNTRY
SUFFER	SUFF
INJURY	ENGINEERING
CAUSE	COURSE
REIMBURSEMENT	BASSMENT
EMPTY	EMPTI
A	WILL
BIT	THAT
IS	WAS
TRYING	TRY
SINGLISG	SINGLISH
EH	LEH
FAT	SET
SHOCK	SHOCKED
YEAH	YA
SEAT	SEA
THEN	TEN
UTTER	AFTER
HORROR	HALLROR
UTTER	OTHER
SHOCK	SHOP
BATHING	BAVING
A	THE
HAS	BE
REPEATEDLY	PRETTY
SKIPPED	SCARED
OUR	OF
SACRIFICES	SACRIFICS
MORALE	AROUND
POSSIBILITIES	POSSIBILITY
IS	THAT'S
CONJECTURE	CONTRACTOR
UH	AH
UH	ER
COME	CAMP
WALK	NOT
THERE	THE
ARE	I
HALLS	HALL
IT	THEY
MAKES	MAKE
OUTCOME	OUTCOM
ON	TO
VARY	VERY
OUR	THE
LEAVE	LIVE
WORKFORCE	FORCE
HEADSTART	START
APPLIED	APPLY
WORKFORCE	FORCE
YOU'LL	WILL
BRIGHT	BRIDE
HAVE	SECURE
ALREADY	ALL
SECURED	THE
WHOMEVER	NEVER
SHORES	SHOWS
CARGO	TROUBLE
SHIPS	SHAPES
OIL	THE
FACTORIES	FACTORY
SOMETIME	TIME
GRATIFICATION	IMMEDIATEIFICATION
SATISFY	SATISFI
PLEASURES	PRESSURE
GAIN	GAME
PERIODS	PERIOD
IS	IT'S
UNAVOIDABLE	UNVOIDABLE
THAT	THE
WORKED	WORK
UNFORTUNATE	FALLINGATE
UMBEARASSING	EMBARRASSING
SO	ONE
EMBARRASSING	DARRASSING
FIT	FAKE
FIGURE	FER
HAR	HA
HOPE	WHO
IT	WILL
THE	YOUR
BUMPKIN	PUMPKIN
CROWD	FLOOR
UNAVOIDABLE	BALL
IS	AS
LOVE	LIFE
MUST	A
IT	UP
WITH	THE
BULLSHIT	MOTION
COMMERCIALISM	REASON
WE	TO
OK	OKAY
A	THE
IT'S	IS
AN	THE
IS	SHOES
UH	IT
IS	IT'S
GROWING	GOING
AN	THE
NOISIER	NOISY
SOUNDER	SOMEWHERE
HYPOTHESISE	HYPOTHESIZE
WITH	YEAR
EARPLUGS	PLUS
WORKLOAD	CLOTHES
THAT	THERE
COMPOSED	COMPOSE
WORKLOADS	CLOTHES
NECESSITY	UNIVERSITY
BELOW	BLUR
SEAT	TO
DESPITE	BUT
HEFTY	HEALTHY
YOU	UNTIL
SHOCK	SHOCKED
PERFORMERS	PERFORMANCE
INSPIRATION	EXPIRATION
SEEN	SEE
CELEBRITY	FACIRITY
DESPITE	SPIDE
FALL	FOUR
SICK	SIX
IT	THAT
IS	THERE'S
SIGNIFIES	FIVE
MAKERS	S
FORK	FIND
STANDS	STAND
PETRIFIED	PETRIFY
OUR	OF
FOOD	FULL
AND	THEN
OUR	A
A	I
WATCHED	WATCH
POT	PART
BOIL	BUY
EXPRESSIVE	EXPENSIVE
ITS	IS
LOUD	WELL
OR	OH
STOPPED	RUBBISH
IS	IT'S
IT	THAT
NO	NOW
BOWL	BALL
BOWL	BALL
WHAT	ONE
AUTHORITATIVE	TORITATIVE
PHOTOGRAPHER	PHOTOGRAPHY
AH	ER
THINKS	THINGS
LIKELIHOOD	WHO
OUR	ENOUGH
YEAH	YA
OUR	WILL
IT'S	IS
IT'S	IS
HIS	IS
AS	A
THESE	THIS
READILY	REALLY
YEAH	YA
THE	THEY
EM	ERM
VOLUNTARY	THEORY
CONTACTED	CONTACT
YEAH	YA
CALL	CORE
CALLED	CALL
WILL	FOR
WHAT	WHY
WERE	WOULD
EDITED	ADDICTED
EDITED	ADDICTED
WERE	ABOUT
JUSTIFICATIONS	TRANSIFICATIONS
YEAH	YA
SARA	SARAH
SARA	SARAH
OH	HALL
DESMOND	DESMON
HANSLEY	HENSLEY
DESMOND	ATTACHMENT
AM	I'M
WILL	WAS
SKIP	SCARED
SARA	SARAH
DAVE	DAYS
DAVE	DAY
IS	YOU
HE	SEE
CONTRIBUTING	CONTRIBUTION
TRUST	CHOICE
LO	LOR
SILENT	SILENCE
INDONESIAN	INDONESIA
INDONESIAN	INDONESIA
INDONESIANS	INDONESIAS
BERHASA	PASAR
MELAYU	MALAM
EXPOSE	EXPOS
CHOSEN	CHILDREN
VIDEOS	VIDEO
AT	THAT
LEAST	IS
WANT	WON'T
THE	BE
AUDIENCE	IDEAS
AS	WILL
A	DELIVERABLE
MAID	LESSON
AUTHENTIC	ATTEND
YET	YUP
YOU	NO
KNOW	NO
THERE	THEY
INDONESIAN	INDONESIA
UH	THE
MAID	MATE
PASSED	PASS
LET'S	LESS
COPING	HOPING
AH	UH
HA	HUH
PROGRAM	PROGRAMME
YOU	HE
IT'S	IS
AND	MAKE
MAKEUP	UP
IT'S	IS
MEASURE	MAJOR
WHAT	ONE
CONTRIBUTED	CONTRIBUTEED
HAH	AH
LIES	LIVE
REC	RIGHT
REC	CORRECT
IT	THAT
IS	DAY
YOU	HE
RECRUIT	WRITE
DENY	DINNER
IT	YET
ELABORATE	INLABORATE
SURGE	SEARCH
ESTABLISH	FINISH
LINK	COZLING
STEALTHY	TY
DEALINGS	DINGS
RAPIDLY	REPETLY
MIC	MIKE
IT'S	IS
SPENT	SPEND
TAKES	??
MARRIED	MERIT
YOUR	YOU
DO	TO
SEMESTER	SEM
SEMESTER	SEM
MAY	MAKE
ONE	WANT
LIST	THING
SEMESTER	SEM
A	THE
SEMESTER	SEM
ER	OH
SEMESTER	SEM
SEMESTER	SEM
IT'S	IS
YOUR	A
CARD	CARDS
STAY	DAY
JUSTIFIED	JUSTTIFIED
ALLOCATED	ALLOGATED
THESE	THIS
POP	PARK
A	OUR
THIS	SHOWS
SCRUTINY	SCRIPTINGY
SUPERFICIAL	SUPERFICIENT
QUESTIONABLE	PARTICULAR
INTELLECTUALLY	INTELLECTURLY
STIMULATING	DEMING
OH	LOR
ARISES	RICES
I'M	AM
READY	ALREADY
THEN	ACADEMICITY
EM	MM
FOOTHOLD	WHOLE
DISCRETIONARY	DISTRACTIONARY
PURSUE	PERSON
IT'S	IS
YOU	WE
TO	THE
YOUR	YOU
DREAMS	DREAM
WHAT	THAN
INSPIRED	SPIRE
CLOSEST	CLOSER
DISSECTING	STARTING
FROG	FRIEND
OK	OKAY
AM	I'M
IT'S	IS
BELIEVER	DELIVER
IN	AND
BLIND	PLAN
EXPERIENCED	EXPERIENCE
SELDOM	SALMON
THERE'S	IS
A	THE
OR	OH
IN	AND
INTRICATE	INTERESTED
SURGEONS	SURGEON
PRACTITIONER	PRACTICAL
SPECIALIZED	SPECIALISED
SURGEONS	SURGEON
N	M
BACHELOR'S	BACHELORS
GO	SCHOOL
SPECIALIST	SPECIALIZE
DECADES	DECKETS
DECADES	TICKETS
OBLIGATIONS	PUBLICATIONS
BEARING	MARRY
ISOLATE	LATE
I	A
ISOLATED	ICATED
PRODUCING	PRODUCEING
PROFESSIONISTIC	PROFESSIONALISTIC
APPRECIATE	APPRECIATEED
WEIGHED	WENT
WOULD	WILL
HAMPER	HAPPEN
WISE	WIDE
SOCIALLY	SOCIAL
ER	A
DREAMS	DREAM
HIM	THEM
OR	DIDN'T
DID	A
HE	PRO
APPROACH	TO
YOU	YOUR
DID	DO
HE	YOU
THE	TO
COLOUR	COLOR
OK	OKAY
AMBITIOUS	AMBITION
BUT	WHAT
DIGNITY	ARTISTICITY
YEAH	YA
TOLERATE	IT
PAPAI	MY
MEANS	PARENTS
DID	HOW
HE	TO
VOTED	FORWARDED
IN	THEN
MANAGE	RECOMMENDED
HIM	CHANGE
SUBSTANTIAL	SUBSTITU
BOWL	BALL
SLAMMING	PLANNING
THE	TO
HE	THEY
ABOUT	BUT
HELLO	LOR
AGARATION	GRADUATION
AGARATION	CALCULATION
EH	YEAH
IT	EH
WE	YOU
LEH	EH
ORH	AH
EH	EI
LA	LAH
EH	LEH
LA	LAH
WANT	YOU
TO	I
TALK	THOUGHT
HAHA	HAH
MM	EN
ELECTIVE	ELECTIVES
SPECIALISATION	SPECIALIZATION
NANOTECHNOLOGY	TECHNOLOGY
LA	LAH
LEH	AEROPIAN
ORH	OH
INDO	WINDOWS
GROW	GO
OLDER	ORDER
<NOISE>	MA
THERE	WHO
PLAY	PAY
SAY	YEAR
ONE	AH
ORGANISATION	ORGANIZATION
IT'S	IS
IT'S	IS
ERRR	ER
IT'S	IS
SEM	SIDE
LA	LAH
WHAT	CALLED
AH	I
OR	LOR
ORH	OH
MM	EN
HUH	AH
EH	EI
PLUS	MONTHS
RIGHT	EH
CAUSE	BECAUSE
ORH	OH
GOT	TO
THING	THINK
ORH	I
THURSDAY	THINK
THE	A
FRIDAY	FUNNY
I	FLYER
BEN	FRIEND
LA	AH
IT'S	I
DON'T	WHETHER
AT	THEN
U	I
TIX	PHYSICS
ALREADY	REALLY
LOR	AH
ME	YOU
LOR	MORE
THESE	THIS
ERR	UH
EH	EI
EH	EI
THAT	THEN
EH	RIGHT
YA	YEAH
TWEN	TWENTY
TWEN	TWENTY
TWEN	TEN
HUH	HAH
FETISH	FOOTISH
YA	YEAH
DESPO	DESMO
<NOISE>	EI
EH	LEH
HIS	ALSO
LOOK	NOT
YA	YEAH
CHURCH	CHECK
EH	EI
CONSECUTIVE	CONSECUTY
SLEEP	SICK
EH	EI
PRINCE	PRINTS
YOU	WHAT
SLEEP	THEY
THEN	AH
SAY	ALSO
T	THREE
V	MAYBE
WHAT'S	WAS
UP	OUT
HE	YOU
ER	AH
IT'S	IS
LIKE	WHY
WOULD	YOU
SURE	SHOULD
AIYA	AH
EH	LEH
WHIS	MISS
WHISPER	MR
BLOCK	BLOG
ORH	OH
LA	LAH
LA	LAH
COM	CON
ORH	RIGHT
ALREADY	A
MOBY	MOVIE
TALK	TOP
EH	THERE
THAT	THE
YA	YEAH
SURVEY	SERVICE
EH	RIGHT
MEH	LEH
LA	LAH
LA	LAH
CORRECT	CALLED
EH	ALSO
AIYA	I
LA	AH
ALRIGHT	RIGHT
MAN	MANY
TIME	ONE
AH	LAH
IT'S	IS
AIYA	YEAH
FIVE	FIND
ADD	AT
OR	ENDING
OR	HOR
ADD	ACT
YET	EH
PAISEH	SEE
TEMPTED	TALENTED
AH	EH
REBONDING	RECORDING
HIGHLIGHT	LIKE
YOU	CAN
WAIT	BE
AH	LAH
YA	YEAH
UHHUH	AH
UHHUH	HUH
BREAST	SO
UHHUH	BAD
THEN	LEH
ORH	OH
CERVIC	CERVIX
CERVIC	CERVIX
ONE	WHAT
IS	IT'S
EH	LIKE
CERVIC	SERVICE
CERVIC	CERVIX
CERVIC	CERVIN
GOT	FOR
LET'S	I
WALAU	LAU
WHAT	HOW
A	ECON
EH	EI
I	OH
EXPIRES	EXCIRE
DELETE	IT
EYE	END
I	I'M
SIAN	MALAYSIA
WRITE	YA
EH	LAH
SIAN	MALAYSIAN
ORH	OH
MEH	YEAH
SALE	FAIL
FLY	FIVE
YA	IS
SEVENTH	SEVEN
TENTH	TEN
SEVENTH	SEVEN
GOT	LAH
NICE	SHARE
WHAT	LA
CHEAPO	CHEAPER
EH	AH
HUNDRED	I
AND	GOT
TWENTY	ONE
YA	YEAH
SALE	SIAO
OKAY	OK
CHEE	WATCHING
TWEN	TEN
CENT	SEM
BOUGHT	ABOUT
WAIT	WHEN
GO	WANT
AND	TO
OUT	UP
I	WHAT
UHHUH	HUH
HUH	HA
DON'T	THAT
EVEN	ONE
KNOW	NOW
LA	LAH
CHEAPO	CHEAPER
EH	YEAH
AUSTRALIA	FURTHER
SYDNEY	SINGAPORE
EH	IT'S
PERTH	PROF
SYDNEY	SEEING
AH	US
AH	YEAH
BONAFIDE	SIDE
WAHSEH	SAY
TADUM	TIME
YA	YEAH
YA	YEAH
YA	YEAH
THAT'S	DECLARE
GOOD	OH
ORH	THERE
THERE'S	IS
THERE	THAT
<NOISE>	EH
HOW	YEAH
DON'T	TO
HAVE	HAIR
HER	HAIR
HAIRSTYLE	STYLE
SEEMS	SINCE
LIKE	IS
EH	LEH
ORH	LOR
YA	YEAH
EXPENSIVE	SPECIAL
TRICK	TREAT
EH	LEH
ALREADY	VERY
EH	LEH
LOR	KNOW
COLOUR	COLOR
TREATMENT	CHEAP
NEVER	THEN
WRITE	RIGHT
PRICE	PLAN
LOR	IS
IDIOT	IT
THEY	THAT
NEVER	ONE
WRITE	THE
AH	YEAH
TREATMENT	ONE
NEH	THEN
BOB	BOOK
HIGHLIGHT	LIKE
EH	NEH
LA	LAH
NAILS	NAME
LA	LAH
MANICURE	MEDICAL
HAIRSTYLE	STORE
AH	NAY
NEH	??
HANNOR	NO
IT'S	A
NEH	THERE
JEREMY	JANUARY
JEREMY	JANUARY
YA	YEAH
EH	YEAH
THERE	THEN
ONE	AH
SWEET	ONE
LOOKING	SAID
KAJIAO	CATCH
SWEET	IT
LOOKING	ONLY
EH	EI
STALK	STOP
SPELL	BLOCK
EH	EI
SENSE	JACKSON
LITTLE	TAKE
NEH	THEN
LOR	OH
EE	EH
NERD	NOT
VEST	BEST
BLING	BUILDING
SENSE	JASON
BEN	BAND
BEN	BAND
KIMFAI	CAN
KIMFAI	FIVE
HUH	AH
HE	LAH
HIM	YOU
NORMAN	NORMAL
EILEEN	EIGHTEEN
ARE	UP
ORH	OH
NEVERMIND	MIND
PRETTY	OKAY
EH	WHAT
THE	FOOD
HAND	THAT
LA	LAH
POSE	POST
THE	A
ANGLE	GIRL
EH	EI
TUMMY	TIMING
TUMMY	??
JAYZEL	JASON
BEND	VAN
LA	LAH
EH	SAID
FORWARD	FOOD
FORWARD	FOOD
FORWARD	FOOD
ORH	OH
YA	YEAH
LA	LAH
ANGLE	ANKLE
HAH	AH
AH	UH
HAH	HUH
TALK	THOUGHT
LEH	EH
ONE	CALLED
QUITE	YOU
EASY	SEE
LEH	AH
BEN	BAND
HOTDOG	HALL
WE	YOU
AH	OH
OKAY	OK
OKAY	OK
WHAT	AH
I	YOU
BEN	BAND
PRICE	BUS
LAH	AH
BLUETOOTH	CHOOSE
HANDPHONE	PHONE
LOH	OH
YEAH	YA
LAH	LA
SCREEN	SCREAM
RIGHT	WHAT
OKAY	OK
WAIT	WE
AH	ARE
WAIT	WE
AH	ARE
EH	IS
THOSE	HONOURS
YOUR	I
HAIR	HEAR
GOOD	GROUP
OH	LOR
LOH	LAH
LOH	LOR
OR	VERY
NOT	HARD
LEH	AH
LAH	AH
THE	THAT
UGLY	EARLY
EH	AH
EH	HUH
BAG	BACK
K	OKAY
LOH	LOR
MAI	NOT
HIAM	BAD
LOH	LAH
THERMODY	TOMODY
AGARATION	ORGANISATION
RE	RED
DYE	DIE
SIDES	SITES
I	BUT
THINK	THEN
WEIRD	YEAH
EH	YEAH
YOUR	ALL
OH	LA
NOT	LA
WITHDRAW	RESULT
BUFFER	BEFORE
BUFFER	BOYFRIEND
I	LIKE
THINK	THAT
CALCULATE	CONVERT
VOICE	YEARS
REALLY	MAYBE
AH	I
LIM	LING
SOUND	SOME
HAH	HUH
ALRIGHT	RIGHT
DON'T	DIDN'T
ELECTIVES	ELECTIVE
LEH	EH
SLACK	SEC
SLACK	SEC
CHEM	CAMP
MEMORISE	MEMORIZE
CHEM	CAMP
CHEM	CAMP
MAGIC	IMAGINE
VOICE	A
I	LAH
MAGIC	OKAY
SLACK	SEXY
MARKS	MARK
AKE	TAKE
ELECTIVES	ELECTIVE
HOR	OH
MARKS	MATHS
LOBANG	ROBOT
LOBANG	MOBILE
FOR	FROM
OK	OKAY
PITCHING	TEACHING
PITCHING	TEACHING
OK	OKAY
OH	HOR
PITCHING	TEACHING
SIGHTREAD	READ
READ	SUB
EH	AH
LOH	HOR
SELECTED	SAD
ACT	EH
ONE	LEH
LOH	LOR
FILTER	FIER
PROVE	PRO
WHAT	EH
WANT	EH
TO	CANNOT
TANK	TIME
WELL	MESSAGE
TOP	TEMPLE
SIZE	SCIENCE
RIVER	REVERE
PLANNER	AH
MUSIC	AH
OF	REALLY
VOICE	ALVIN
SEVENTEEN	SOMETHING
WHITE	WHAT
SAYANG	SAIANG
CLIP	CLICK
CLIP	CLICK
CLIP	CLICK
THEN	LOR
G	EXCHANGE
DOT	NOT
NAILS	NEARS
UNIQUE	UNIT
EAST	STUDIES
HAH	HUH
MY	OK
GOD	LAH
HAH	AH
LIQUID	LIQU
NAILS	NAMES
NAILS	NEWS
WAHLAO	LAU
YEAH	YA
LAH	AH
HOR	OH
HAH	AH
RIGHT	LIKE
LOH	AH
BALLOT	BALLET
HAH	HUH
BALLOT	BALLET
BALLOT	BALLET
BALLOT	BUDGET
LUCINDA	SINGLE
LOH	LOR
EN	HUM
LEH	STOP
HAH	<NOISE>
LOH	AH
EN	ERM
BYE	I
OKAY	OK
NOR	NO
D	T
TECH	TAKE
STRESSED	STRESS
IT'S	IS
OH	HOR
MEMORISE	MEMORIZE
MEMORISE	MEMORIZE
CAN	GET
MANAGE	MANAGED
A	TO
BUSINESS	BUSES
LEH	EH
LIKE	BUT
